分类,菜名,价格,单位,POS写法(多个用|分隔)
茶位,茶位,10,位,茶位|茗茶
前菜/小食,酥炸椒鹽板豆腐,49,份,酥炸椒鹽板豆腐|酥炸椒鹽豆腐
前菜/小食,海南沙律,59,份,海南沙律
前菜/小食,黃金雞脆骨,69,份,黃金雞脆骨
前菜/小食,新加坡檸檬鳳爪,69,份,新加坡檸檬鳳爪
前菜/小食,黑醬油蘿蔔糕,79,份,黑醬油蘿蔔糕
前菜/小食,黑松露酥炸生蠔,79,份,黑松露酥炸生蠔
前菜/小食,魷魚沙律,79,份,魷魚沙律
前菜/小食,斑斕汁椰香鱈魚,89,份,斑蘭汁椰香鱈魚|斑斕椰奶鱈魚|斑斕汁椰奶鱈魚
前菜/小食,九製陳皮火焰黑金叉燒,109,份,九製陳皮火焰黑金叉燒|九製陳皮火焰黑金叉燒(需時25分鐘)
前菜/小食,黑松露蝦多士,129,份,黑松露蝦多士
燒烤系列,火焰石燒豬頸肉,109,份,火焰石燒豬頸肉|火焰石燒豬頸肉(需時25分鐘)
燒烤系列,火焰石燒沙嗲串串,129,份,火焰石燒沙嗲串串|火焰石燒沙嗲串串(需時25分鐘)
燒烤系列,火焰石燒魷魚鬚,149,份,火焰石燒魷魚鬚|火焰石燒魷魚鬚(需時25分鐘)
湯品,杏汁木瓜花膠燉雞湯,69,份,杏汁木瓜花膠燉雞湯
湯品,椰子八寶燉雞,79,份,椰子八寶燉雞湯|椰子八寶燉雞
天天海南雞系列,天天海南雞(中份),169,中份,天天海南雞 （中）|天天海南雞 （中份）|天天海南雞中份|招牌天天海南雞(中份)|天天海南雞(中份)
天天海南雞系列,天天海南雞(大份),289,大份,天天海南雞 （大）|天天海南雞 （大份）|天天海南雞大份|招牌天天海南雞(大份)|天天海南雞(大份)
天天海南雞系列,天天燒雞(中份),169,中份,天天燒雞 （中）|天天燒雞 （中份）|天天燒雞中份|招牌天天燒雞(中份)|天天燒雞(中份)
天天海南雞系列,天天燒雞(大份),289,大份,天天燒雞 （大）|天天燒雞 （大份）|天天燒雞大份|天天燒雞大份L|招牌天天燒雞(大份)|天天燒雞(大份)
天天海南雞系列,天天海南雞拼燒雞,299,份,天天海南雞拼燒雞|招牌天天海南雞拼燒雞(大份)
豬肉系列,白咖喱香茅豬扒,129,份,白咖喱香茅豬扒
豬肉系列,黑磨豉醬炆豬手,129,份,黑磨豉醬炆豬手
豬肉系列,黑磨豉醬炆豬軟骨,129,份,黑磨豉醬炆豬軟骨
豬肉系列,豬肉骨茶小火鍋,159,份,豬肉骨茶小火鍋|豬肉骨茶小火锅
牛肉系列,黃咖喱牛面頰肉,139,份,黃咖喱牛面頰肉
牛肉系列,黑磨豉醬炆牛筋牛腩,149,份,黑磨豉醬炆牛筋牛腩
牛肉系列,鹽磚蒜片安格斯牛肉,159,份,鹽磚蒜片安格斯牛肉
牛肉系列,牛肉骨茶小火鍋,169,份,牛肉骨茶小火鍋
海鮮系列,海南黃椒魷魚豆麵,129,份,海南黃椒魷魚豆麵
海鮮系列,黑胡椒羅氏蝦粉絲煲,149,份,黑胡椒羅氏蝦粉絲煲
海鮮系列,鮮茄汁羅氏蝦腸粉煲,149,份,鮮茄汁羅氏蝦腸粉煲
海鮮系列,蒜香酥炸鯧魚,169,份,蒜香酥炸鯧魚|蒜香酥炸䱽魚|蒜香酥炸倉魚
海鮮系列,原條酸菜魚,189,份,原條酸菜魚|酸菜魚
海鮮系列,喇沙海鮮小火鍋,189,份,喇沙海鮮小火鍋
海鮮系列,辣椒蟹腸粉,329,份,辣椒蟹腸粉|辣椒蟹腸粉煲
海鮮系列,黑胡椒蟹粉絲,329,份,黑胡椒蟹粉絲|黑胡椒蟹粉絲煲
蔬菜/蛋/豆腐,肉末豆腐水晶粉,89,份,肉末豆腐水晶粉
蔬菜/蛋/豆腐,菠菜蕃茄炒蛋,89,份,菠菜蕃茄炒蛋
蔬菜/蛋/豆腐,魚腐炆絲瓜,89,份,魚腐炆絲瓜
蔬菜/蛋/豆腐,黃金蠔烙,99,份,黃金蠔烙
蔬菜/蛋/豆腐,參巴辣椒炒通菜,99,份,參巴辣椒炒通菜|参巴辣椒炒通菜
蔬菜/蛋/豆腐,蒜香西蘭花苗,99,份,蒜香西蘭花苗
蔬菜/蛋/豆腐,鴛鴦菜花,99,份,鴛鴦菜花
蔬菜/蛋/豆腐,豆漿海南雜菜煲,109,份,豆漿海南雜菜煲
主食,白飯(碗),19,碗,白飯（碗）|白飯/碗
主食,白飯(窩),59,窩(3-4人),白飯（窩）|白飯（3-4人）/窩
主食,雞油飯(碗),23,碗,雞油飯（碗）|雞油飯/碗
主食,雞油飯(窩),69,窩(3-4人),雞油飯（窩）|雞油飯（3-4人）/窩
主食,乾炒牛柳絲貴刁(大份),139,份,乾炒牛柳絲貴刁（大份）|乾炒牛柳絲貴刁(大份)
主食,新加坡福建蝦麵(大份),149,份,新加坡福建蝦麵(大份)|新加坡福建蝦麵（大份）
點心,咖央醬蒸饅頭(4個),39,份,咖央醬蒸饅頭(4個)|咖央醬蒸饅頭（4個）
點心,咖央醬炸饅頭(4個),39,份,咖央醬炸饅頭(4個)|咖央醬炸饅頭（4個）
點心,桂花糕,49,份,桂花糕
點心,小籠包(4隻),59,份,小籠包(4隻)|小籠包（4隻）
甜品,新加坡原味豆腐花,22,份,新加坡原味豆腐花
甜品,新加坡原味豆腐花加美祿,29,份,新加坡原味豆腐花加美祿
甜品,椰奶炸龜苓膏,49,份,椰奶炸龜苓膏
飲品,凍-檸檬薏米水,29,杯,凍-檸檬薏米水|凍檸檬薏米水|檸檬薏米水(凍)
飲品,熱-檸檬薏米水,29,杯,熱-檸檬薏米水|熱檸檬薏米水|檸檬薏米水(熱)
飲品,菊花冰,29,杯,菊花冰
飲品,龍眼冰,29,杯,龍眼冰
飲品,凍-50年代咖啡,35,杯,凍-50年代咖啡|咖啡(凍)|􏚶咖啡(凍)
飲品,熱-50年代咖啡,35,杯,熱-50年代咖啡|咖啡(熱)|􏚶咖啡(熱)
飲品,凍-50年代奶茶,35,杯,凍-50年代奶茶|奶茶(凍)
飲品,熱-50年代奶茶,35,杯,熱-50年代奶茶|奶茶(熱)
飲品,凍-50年代椰奶咖啡,35,杯,凍-50年代椰奶咖啡|椰奶咖啡(凍)
飲品,熱-50年代椰奶咖啡,35,杯,熱-50年代椰奶咖啡|椰奶咖啡(熱)
飲品,凍-恐龍美祿,35,杯,凍-恐龍美祿|凍恐龍美祿|恐龍美祿 (凍)|恐龍美祿(凍)
飲品,熱-恐龍美祿,35,杯,熱-恐龍美祿|熱恐龍美祿|恐龍美祿 (熱)|恐龍美祿(熱)
飲品,凍-豆花年代咖啡,39,杯,凍-豆花年代咖啡|50年代豆花咖啡(凍)
飲品,凍-豆花年代奶茶,39,杯,凍-豆花年代奶茶|50年代豆花奶茶(凍)
飲品,凍-豆花椰奶咖啡,39,杯,凍-豆花椰奶咖啡|豆花椰奶咖啡（凍）
飲品,凍-豆花恐龍美祿,39,杯,凍-豆花恐龍美祿|50年代豆花美祿(凍)
飲品,新加坡手打檸檬茶,39,杯,新加坡手打檸檬茶|手打檸檬茶
飲品,鹹檸檬梳打水,39,杯,鹹檸檬梳打水
飲品,鮮椰子水,39,個,鮮椰子水|椰子水
飲品,芒果冰沙,49,杯,芒果沙冰|芒果冰沙
飲品,香茅青檸冰沙,49,杯,香茅青檸沙冰|香茅青檸冰沙
飲品,青檸梳打水,19,杯,青檸梳打水
酒水,泰象啤酒,29,支(330ml),泰象啤酒
酒水,泰象生啤,39,杯,泰象生啤
酒水,天天啤酒(天天×少爺啤酒),59,支(330ml),天天啤酒|天天啤酒(天天×少爺啤酒)
酒水,紅葡萄酒(Glass),69,杯,紅葡萄酒 Glass|紅葡萄酒(Glass)|紅葡萄酒Glass
酒水,白葡萄酒(Glass),69,杯,白葡萄酒 Glass|白葡萄酒(Glass)|白葡萄酒Glass
酒水,紅葡萄酒(Half Bottle),149,半瓶,紅葡萄酒 Half Bottle|紅葡萄酒(Half Bottle)|紅葡萄酒Half Bottle
酒水,白葡萄酒(Half Bottle),149,半瓶,白葡萄酒 Half Bottle|白葡萄酒(Half Bottle)|白葡萄酒Half Bottle
